,pdb_id,number_chain,protein_1,protein_2,
0,5bxq,5,A B,D C,0
1,1a3b,3,H,I,0
2,1a4y,4,D,E,0
3,1ahw,3,A D E,F,1
4,1ak4,4,A B,C D,0
5,1akj,4,D E,A,0
6,1ava,4,B,D,0
7,1avg,3,H,I,0
8,1avz,3,B,C,0
9,1azz,4,A B,C D,1
10,1b27,6,A,D,0
11,1b2s,6,C,F,0
12,1b2u,6,A,D,0
13,1b3s,6,A,D,0
14,1b6c,8,D,C,0
15,1bj1,3,L H K J,V W,1
16,1bql,3,L H,Y,0
17,1brs,6,A,D,0
18,1bth,3,H,P,0
19,1bvk,3,A B,C,0
20,1c9t,12,A,G,0
21,1ca0,4,B C,D,0
22,1cbw,4,B C,D,0
23,1cmx,4,A C,B,0
24,1cn4,3,A B,C,1
25,1cz8,3,L H Y X,V W,1
26,1de4,9,A D,F C,1
27,1dee,8,F,H,0
28,1dit,3,H,P,0
29,1dqj,3,A B,C,0
30,1du3,12,K J,H,0
31,1dzb,4,B,Y,0
32,1e3u,4,A,C,0
33,1e4k,3,A B,C,0
34,1e6e,4,C,D,0
35,1e6j,3,H L,P,0
36,1eaw,4,C,D,0
37,1eer,3,C B,A,0
38,1efn,4,C,D,0
39,1efx,5,A,D,0
40,1eo8,4,A,H L,0
41,1ewy,3,A B,C,0
42,1ezs,4,A B,C D,1
43,1ezu,4,A B,C D,1
44,1fak,4,H,I,0
45,1fe8,9,I M,B,0
46,1ffw,4,C,D,0
47,1ffx,5,A B C D,E,0
48,1fg9,5,A B,D,0
49,1flt,4,V W,X,0
50,1fqj,5,A C,B,0
51,1fsk,12,E F,D,0
52,1gcq,3,A B,C,0
53,1gl1,6,A,I,0
54,1gng,4,B,Y,0
55,1go4,8,E F H G,A D,0
56,1gpw,6,E,F,0
57,1gxd,4,D,B,0
58,1hcf,4,A B,X,0
59,1hez,5,E,C,0
60,1hia,6,X Y,J,0
61,1hqr,4,A B,D,0
62,1hrt,3,H,I,0
63,1hxy,4,A B,D,0
64,1i2m,4,A,B,0
65,1i3o,6,D B A,E,0
66,1i4d,3,A B,D,0
67,1i51,6,C D,F,0
68,1i5k,4,B,C,0
69,1i8k,3,A B,C,0
70,1i8l,4,B,D,0
71,1ib1,8,C D H,G,0
72,1ibr,4,C,D,0
73,1icf,6,C D,J,0
74,1id5,3,I,H,0
75,1ihs,3,H,I,0
76,1ijk,3,B C,A,0
77,1iqd,3,A B,C,0
78,1jmo,3,H,A,0
79,1jps,3,L H,T,0
80,1jrh,3,L H,I,0
81,1jtg,4,D,C,0
82,1jwh,4,A B,C D,0
83,1k2d,3,A B,P,0
84,1k5d,12,I,G,0
85,1k93,6,C,F,0
86,1kgy,8,C B,F,0
87,1kig,3,H,I,0
88,1kkl,6,C B,J,0
89,1ktk,6,B,F,0
90,1kxq,8,C,F,0
91,1kxt,6,D,C,0
92,1kxv,4,D,B,0
93,1l0x,4,D,C,0
94,1l0y,4,D,C,0
95,1l2w,12,A B,I,0
96,1lfd,4,A,B,0
97,1lj2,4,A B,C D,0
98,1lm8,4,H,V,0
99,1lqb,4,C,D,0
100,1lqs,4,L M,S R,0
101,1mhh,6,A,E,0
102,1mi5,5,A C,E D,0
103,1mlc,6,A B,E,0
104,1mq8,4,A,B,0
105,1mtn,8,B C,D,0
106,1mxe,4,A,E,0
107,1n64,3,H L,P,0
108,1nb5,12,A P,I,0
109,1nca,3,N,L H,0
110,1nez,4,A,H B J,0
111,1nf3,4,A,C,0
112,1nl0,3,L H,G,0
113,1nm5,3,A B,C,0
114,1nma,3,L H,N,1
115,1nsn,3,L H,S,0
116,1nvu,3,S,R,0
117,1nys,4,A C,B D,0
118,1nyu,4,A C,B D,0
119,1o94,6,A,C D,0
120,1o95,6,A,E F,0
121,1ob1,6,A B,C,0
122,1oey,8,A,J,0
123,1ogy,16,A,B,0
124,1oqe,18,J,R,0
125,1oyv,3,A B,I,0
126,1p0s,3,E,H,0
127,1p1z,4,A,D,0
128,1p22,3,A,C,0
129,1p27,4,C,D,0
130,1p2c,6,A B,C,0
131,1p3q,4,Q R,V,0
132,1p4b,3,H L,P,0
